time,probability
1169,7.026388312211762e-05
1170,7.671438139752653e-05
1171,8.370945515877933e-05
1172,9.129044862671854e-05
1173,9.95013186355687e-05
1174,0.00010838922812302336
1175,0.00011800444157625236
1176,0.0001284005371215971
1177,0.00013963422561891455
1178,0.00015176559627853633
1179,0.0001648589002907779
1180,0.00017898239161568026
1181,0.00019420858554123276
1182,0.00021061401477502682
1183,0.0002282795002643464
1184,0.0002472911671352996
1185,0.0002677402108506665
1186,0.0002897232065354092
1187,0.00031334178945545155
1188,0.0003387029362640192
1189,0.0003659202586654334
1190,0.00039511367078155936
1191,0.00042640975219228284
1192,0.00045994134078418283
1193,0.0004958478007229312
1194,0.0005342766405843758
1195,0.0005753830531785558
1196,0.0006193303331423171
1197,0.0006662893732381261
1198,0.0007164388846513199
1199,0.0007699673840522853
1200,0.0008270725727455401
1201,0.0008879618078753238
1202,0.0009528514990237798
1203,0.0010219672335602717
1204,0.0010955461704030812
1205,0.00117383622290135
1206,0.0012570965809501667
1207,0.0013455970132501295
1208,0.001439617835001317
1209,0.0015394527362411793
1210,0.0016454077325878925
1211,0.001757801733472915
1212,0.001876965765297792
1213,0.002003242704386489
1214,0.002136990553450333
1215,0.0022785811267563936
1216,0.002428400655974101
1217,0.002586848962137028
1218,0.0027543388649904823
1219,0.002931299901753717
1220,0.0031181767174296346
1221,0.0033154296968215145
1222,0.003523534128409287
1223,0.0037429791916296713
1224,0.003974272087997418
1225,0.004217936115562148
1226,0.00447451131282928
1227,0.004744553673608799
1228,0.0050286336073941534
1229,0.00532734042695719
1230,0.0056412800981722406
1231,0.00597107587845638
1232,0.006317367655770315
1233,0.0066808097772857004
1234,0.007062075812130711
1235,0.007461855981476494
1236,0.007880857771484921
1237,0.00831980548062178
1238,0.008779437321125563
1239,0.009260510350224568
1240,0.009763797601270337
1241,0.01029008864739369
1242,0.010840189450545663
1243,0.01141491865803943
1244,0.0120151125736146
1245,0.012641622023954555
1246,0.013295312848719492
1247,0.013977066150965391
1248,0.014687773736555793
1249,0.015428342975656546
1250,0.016199693455265687
1251,0.01700275737287986
1252,0.017838480289134952
1253,0.01870781568664433
1254,0.019611729562087305
1255,0.020551196931872136
1256,0.021527202107702995
1257,0.02254074004536688
1258,0.02359281003833775
1259,0.024684419878608425
1260,0.02581658229546258
1261,0.026990315091009055
1262,0.028206643168856644
1263,0.029466591423661984
1264,0.030771188312560944
1265,0.03212146231626671
1266,0.033518441913802946
1267,0.03496315836369797
