time,probability
1691,0.41287216978603336
1692,0.4194218315628732
1693,0.42598647478958457
1694,0.4325642772036518
1695,0.43915341190209534
1696,0.4457520488777956
1697,0.4523583565511132
1698,0.45897050329471445
1699,0.4655866589495443
1700,0.47220499632992285
1701,0.47882369271577774
1702,0.48544093133006816
1703,0.49205490279949643
1704,0.49866380659665394
1705,0.5052658524617969
1706,0.5118592618025029
1707,0.5184422690695129
1708,0.5250131231071219
1709,0.5315700884765425
1710,0.5381114467507282
1711,0.5446354977792097
1712,0.5511405609215649
1713,0.5576249762482066
1714,0.5640871057072468
1715,0.5705253342562655
1716,0.5769380709578851
1717,0.5833237500381259
1718,0.5896808319065895
1719,0.5960078041375921
1720,0.6023031824114466
1721,0.6085655114151658
1722,0.6147933657019377
1723,0.6209853505087951
1724,0.6271401025319799
1725,0.6332562906595748
1726,0.6393326166610502
1727,0.6453678158334517
1728,0.6513606576040211
1729,0.6573099460891189
1730,0.6632145206093824
1731,0.6690732561611271
1732,0.6748850638440707
1733,0.6806488912455197
1734,0.6863637227812267
1735,0.6920285799931835
1736,0.6976425218046883
1737,0.7032046447330816
1738,0.7087140830605987
1739,0.7141700089638442
1740,0.7195716326024503
1741,0.724918202167532
1742,0.7302090038906055
1743,0.7354433620136736
1744,0.7406206387212353
1745,0.7457402340350179
1746,0.7508015856722713
1747,0.7558041688684982
1748,0.7607474961655324
1749,0.7656311171659117
1750,0.7704546182545231
1751,0.7752176222885212
1752,0.7799197882565506
1753,0.7845608109083276
1754,0.7891404203556578
1755,0.7936583816459806
1756,0.7981144943095516
1757,0.8025085918813868
1758,0.8068405413991058
1759,0.8111102428778174
1760,0.8153176287632028
1761,0.8194626633639538
1762,0.8235453422647269
1763,0.8275656917207688
1764,0.8315237680353802
1765,0.8354196569213772
1766,0.8392534728477036
1767,0.843025358372327
1768,0.8467354834625617
1769,0.8503840448039497
1770,0.8539712650988209
1771,0.8574973923556181
1772,0.8609626991700702
1773,0.8643674819992923
1774,0.8677120604298718
1775,0.8709967764409648
1776,0.8742219936634047
1777,0.8773880966358166
1778,0.880495490058722
1779,0.8835445980475668
1780,0.8865358633855892
1781,0.8894697467774165
1782,0.8923467261042751
1783,0.8951672956816503
1784,0.8979319655202038
1785,0.9006412605907318
1786,0.9032957200939338
1787,0.9058958967357189
1788,0.9084423560087418
1789,0.9109356754808356
1790,0.9133764440909947
1791,0.9157652614535157
1792,0.9181027371708713
1793,0.9203894901558642
1794,0.9226261479635909
1795,0.924813346133709
1796,0.9269517275434617
1797,0.9290419417718855
1798,0.9310846444756181
1799,0.9330804967766763
1800,0.9350301646625434
1801,0.9369343183988785
1802,0.9387936319551495
1803,0.9406087824434523
1804,0.9423804495707386
1805,0.9441093151046573
1806,0.9457960623532065
1807,0.9474413756583594
1808,0.9490459399037825
1809,0.9506104400367428
1810,0.9521355606043117
1811,0.9536219853039393
1812,0.9550703965484205
1813,0.956481475045261
1814,0.9578558993904622
1815,0.9591943456767226
1816,0.9604974871159995
1817,0.9617659936763521
1818,0.9630005317330121
1819,0.9642017637336183
1820,0.9653703478774892
1821,0.9665069378087853
1822,0.9676121823234399
1823,0.9686867250897471
1824,0.969731204382428
1825,0.9707462528299697
1826,0.9717324971750595
1827,0.9726905580479597
1828,0.9736210497526114
1829,0.9745245800652159
1830,0.9754017500450725
1831,0.9762531538574857
1832,0.9770793786084997
1833,0.977881004191183
1834,0.9786586031432124
1835,0.9794127405155432
1836,0.9801439737519017
1837,0.980852852578806
1838,0.9815399189058486
1839,0.9822057067360133
1840,0.9828507420857479
1841,0.9834755429144859
1842,0.9840806190633473
1843,0.9846664722027885
1844,0.9852335957889149
1845,0.9857824750281418
1846,0.9863135868499359
1847,0.986827399887418
1848,0.9873243744655381
1849,0.987804962596508
1850,0.9882696079822262
1851,0.988718746023494
1852,0.9891528038357451
1853,0.989572200270974
1854,0.9899773459456043
1855,0.9903686432741128
1856,0.990746486508154
1857,0.9911112617808795
1858,0.9914633471561985
1859,0.991803112682813
1860,0.9921309204527919
1861,0.9924471246644032
1862,0.992752071688959
1863,0.9930461001415182
1864,0.9933295409552348
1865,0.9936027174590926
1866,0.9938659454588017
1867,0.9941195333207165
1868,0.9943637820585737
1869,0.9945989854228209
1870,0.994825429992334
1871,0.9950433952683968
1872,0.9952531537707595
1873,0.9954549711355636
1874,0.9956491062149593
1875,0.99583581117831
1876,0.9960153316148126
1877,0.9961879066373396
1878,0.9963537689873506
1879,0.9965131451407919
1880,0.9966662554148334
1881,0.9968133140752613
1882,0.9969545294443906
1883,0.9970901040094361
1884,0.9972202345312159
1885,0.9973451121530286
1886,0.997464922509578
1887,0.9975798458358952
1888,0.9976900570761507
1889,0.9977957259922268
1890,0.9978970172719478
1891,0.9979940906369199
1892,0.998087100949886
1893,0.9981761983214806
1894,0.9982615282163132
1895,0.9983432315583529
1896,0.9984214448355224
1897,0.998496300203404
1898,0.9985679255879819
1899,0.9986364447874297
1900,0.9987019775728788
1901,0.9987646397880702
1902,0.9988245434478353
1903,0.9988817968353864
1904,0.9989365045983916
1905,0.998988767843792
1906,0.9990386842312834
1907,0.9990863480654693
1908,0.9991318503866123
1909,0.9991752790599889
1910,0.9992167188638427
1911,0.9992562515759013
1912,0.9992939560584143
1913,0.9993299083416537
1914,0.9993641817059175
1915,0.9993968467620983
1916,0.999427971530718
1917,0.9994576215194012
1918,0.9994858597987495
1919,0.9995127470767092
1920,0.9995383417714705
1921,0.9995627000828053
1922,0.9995858760618236
1923,0.9996079216791455
1924,0.9996288868915484
1925,0.9996488197071776
1926,0.9996677662492254
1927,0.9996857708180718
1928,0.9997028759518477
1929,0.9997191224855069
1930,0.9997345496085381
1931,0.999749194921232
1932,0.9997630944894429
1933,0.9997762828978303
1934,0.9997887933016781
1935,0.9998006574774629
1936,0.9998119058720537
1937,0.9998225676504879
1938,0.9998326707423237
1939,0.9998422418866529
1940,0.9998513066759518
1941,0.9998598895986788
1942,0.999868014080573
1943,0.999875702524626
1944,0.9998829763497906
1945,0.9998898560286313
1946,0.999896361123876
1947,0.9999025103237823
1948,0.999908321476271
1949,0.9999138116218971
1950,0.9999189970258946
1951,0.9999238932092471
1952,0.9999285149786845
1953,0.9999328764555594
1954,0.9999369911037085
1955,0.9999408717564727
1956,0.9999445306428589
1957,0.9999479794127488
1958,0.9999512291611504
1959,0.9999542904515352
1960,0.9999571733384083
1961,0.9999598873891403
1962,0.9999624417050105
1963,0.9999648449413955
1964,0.999967105327144
1965,0.9999692306832643
1966,0.9999712284410331
1967,0.9999731056594043
1968,0.9999748690416618
1969,0.9999765249513665
1970,0.9999780794277502
1971,0.9999795382005963
1972,0.9999809067045028
1973,0.9999821900924944
1974,0.9999833932490902
1975,0.9999845208028609
1976,0.9999855771385379
1977,0.9999865664085831
1978,0.9999874925442682
1979,0.9999883592662739
1980,0.9999891700948305
1981,0.9999899283594731
1982,0.9999906372083899
1983,0.9999912996173407
1984,0.9999919183981661
1985,0.9999924962068965
1986,0.9999930355515873
1987,0.9999935387997892
1988,0.9999940081856512
1989,0.9999944458166864
1990,0.9999948536802462
1991,0.9999952336497502
1992,0.9999955874905887
1993,0.9999959168657317
1994,0.9999962233411054
1995,0.9999965083907102
1996,0.9999967734015225
1997,0.999997019678121
1998,0.9999972484471167
1999,0.9999974608613839
2000,0.9999976580040626
2001,0.9999978408923853
2002,0.9999980104813058
2003,0.9999981676669623
2004,0.9999983132899695
2005,0.99999844813852
2006,0.9999985729513752
2007,0.9999986884206781
2008,0.999998795194629
2009,0.9999988938800195
2010,0.9999989850446362
2011,0.9999990692195669
2012,0.9999991469013535
2013,0.999999218554034
2014,0.9999992846110919
2015,0.99999934547729
2016,0.9999994015304243
2017,0.9999994531229508
2018,0.9999995005835419
2019,0.999999544218561
2020,0.9999995843134399
2021,0.9999996211339981
2022,0.9999996549276677
2023,0.9999996859246613
2024,0.9999997143390693
2025,0.9999997403698848
2026,0.9999997642019912
2027,0.9999997860070714
2028,0.99999980594447
2029,0.9999998241620033
2030,0.9999998407967186
2031,0.9999998559756236
2032,0.9999998698163503
2033,0.9999998824277865
2034,0.9999998939106722
2035,0.9999999043581539
2036,0.9999999138563148
2037,0.999999922484657
2038,0.999999930316563
2039,0.9999999374197264
2040,0.9999999438565516
2041,0.9999999496845385
2042,0.9999999549566294
2043,0.9999999597215389
2044,0.9999999640240623
2045,0.9999999679053632
2046,0.999999971403249
2047,0.999999974552414
2048,0.9999999773846739
2049,0.9999999799291868
2050,0.9999999822126553
2051,0.9999999842595192
2052,0.999999986092124
2053,0.999999987730887
2054,0.9999999891944509
2055,0.999999990499823
2056,0.9999999916625091
2057,0.9999999926966304
2058,0.9999999936150386
2059,0.9999999944294193
2060,0.999999995150388
2061,0.9999999957875821
2062,0.9999999963497411
2063,0.9999999968447812
2064,0.9999999972798662
2065,0.9999999976614731
2066,0.9999999979954548
2067,0.9999999982870904
2068,0.9999999985411361
2069,0.9999999987618727
2070,0.99999999895315
2071,0.9999999991184257
2072,0.9999999992607993
2073,0.9999999993830443
2074,0.9999999994876392
2075,0.9999999995767955
2076,0.9999999996524848
2077,0.9999999997164598
2078,0.999999999770277
2079,0.9999999998153125
2080,0.9999999998527824
2081,0.9999999998837613
2082,0.9999999999091955
2083,0.9999999999299152
2084,0.9999999999466435
2085,0.9999999999600121
2086,0.9999999999705729
2087,0.9999999999788043
2088,0.9999999999851201
2089,0.9999999999898734
2090,0.9999999999933677
2091,0.9999999999958635
2092,0.9999999999975819
2093,0.9999999999987096
2094,0.9999999999993993
2095,0.9999999999997775
2096,0.9999999999999494
2097,1.0
