time,probability
1905,1.3493464115628968e-22
1906,1.7922098756665653e-22
1907,2.3756069589944394e-22
1908,3.1425975653041747e-22
1909,4.1489620985572546e-22
1910,5.466818557704761e-22
1911,7.189227831339343e-22
1912,9.436046052831952e-22
1913,1.236134776704015e-21
1914,1.616282403533411e-21
1915,2.1093659007891165e-21
1916,2.747751125966293e-21
1917,3.572737751381747e-21
1918,4.636930253382585e-21
1919,6.007212750855972e-21
1920,7.768474951940788e-21
1921,1.0028270788612395e-20
1922,1.2922633250445865e-20
1923,1.6623320066360685e-20
1924,2.1346827157077302e-20
1925,2.736558253051037e-20
1926,3.5021825279965884e-20
1927,4.4744785803655256e-20
1928,5.707191822496499e-20
1929,7.267509896667677e-20
1930,9.239290209981306e-20
1931,1.1727029902151368e-19
1932,1.486074149477652e-19
1933,1.8801931693483413e-19
1934,2.3750921861776167e-19
1935,2.9955797841876024e-19
1936,3.7723335590156663e-19
1937,4.743231930892961e-19
1938,5.9549752491652115e-19
1939,7.465056200226684e-19
1940,9.344151387234324e-19
1941,1.1679020036821411e-18
1942,1.4576012500850993e-18
1943,1.816531101481591e-18
1944,2.2606048582779155e-18
1945,2.8092479517523635e-18
1946,3.48614078232426e-18
1947,4.320111810677886e-18
1948,5.3462099002315655e-18
1949,6.6069902334553675e-18
1950,8.154054378176815e-18
1951,1.0049892419922981e-17
1952,1.2370083676200985e-17
1953,1.5205922567358536e-17
1954,1.86675479736951e-17
1955,2.28876681382089e-17
1956,2.802598919691118e-17
1957,3.427447408634873e-17
1958,4.186358029427625e-17
1959,5.106965016220882e-17
1960,6.22236567731886e-17
1961,7.572154249786147e-17
1962,9.203642672858095e-17
1963,1.1173300500054554e-16
1964,1.354845145156043e-16
1965,1.6409270213229443e-16
1966,1.9851130140382066e-16
1967,2.3987360659961747e-16
1968,2.895248253658722e-16
1969,3.4905999955337944e-16
1970,4.2036840784532066e-16
1971,5.056855065284308e-16
1972,6.076536286675103e-16
1973,7.293928499450826e-16
1974,8.745836448699966e-16
1975,1.047563203851225e-15
1976,1.2534375642439004e-15
1977,1.4982120317547355e-15
1978,1.7889427378628813e-15
1979,2.1339126003540707e-15
1980,2.54283543491575e-15
1981,3.0270925142595803e-15
1982,3.600006496314603e-15
1983,4.277158354319818e-15
1984,5.076753750362542e-15
1985,6.020046213251792e-15
1986,7.13182552660086e-15
1987,8.440980919614886e-15
1988,9.981149998573749e-15
1989,1.179146588148179e-14
1990,1.3917416725529462e-14
1991,1.641183379370614e-14
1992,1.9336026421429796e-14
1993,2.276108474682323e-14
1994,2.6769373894861652e-14
1995,3.145624649798159e-14
1996,3.6932004041035635e-14
1997,4.332414158614781e-14
1998,5.077991501606038e-14
1999,5.946927509510374e-14
2000,6.958821845805413e-14
2001,8.136261218062057e-14
2002,9.50525559463726e-14
2003,1.1095735409476448e-13
2004,1.29421179120553e-13
2005,1.5083951862199647e-13
2006,1.7566650940354998e-13
2007,2.0442327557339896e-13
2008,2.377074021920327e-13
2009,2.762036925071509e-13
2010,3.2069637526553857e-13
2011,3.7208294925983385e-13
2012,4.3138987539112453e-13
2013,4.997903523672397e-13
2014,5.786244410166874e-13
2015,6.694218344352071e-13
2016,7.739276071879922e-13
2017,8.941313169709149e-13
2018,1.0322998769198701e-12
2019,1.191014666652555e-12
2020,1.373213405717113e-12
2021,1.5822373750520135e-12
2022,1.821884640996532e-12
2023,2.0964700130351413e-12
2024,2.4108925516302436e-12
2025,2.770711537147172e-12
2026,3.182231916051731e-12
2027,3.652600357340306e-12
2028,4.18991318167432e-12
2029,4.803337569243576e-12
2030,5.5032476115034685e-12
2031,6.301376948301104e-12
2032,7.210989927237123e-12
2033,8.247073438182836e-12
2034,9.42655181475214e-12
2035,1.0768527458633457e-11
2036,1.2294550134672497e-11
2037,1.4028918207137106e-11
2038,1.5999015443453148e-11
2039,1.8235687404092445e-11
2040,2.0773661869993694e-11
2041,2.3652018236018845e-11
2042,2.6914711324600377e-11
2043,3.061115565214479e-11
2044,3.4796876816858444e-11
2045,3.9534237376239025e-11
2046,4.489324535179625e-11
2047,5.0952454343839946e-11
2048,5.7799965166764105e-11
2049,6.55345399326025e-11
2050,7.426684062645092e-11
2051,8.4120805441027e-11
2052,9.523517747839755e-11
2053,1.0776520189416038e-10
2054,1.2188450916414984e-10
2055,1.3778720390894826e-10
2056,1.5569018063093042e-10
2057,1.7583568981570332e-10
2058,1.9849418013832152e-10
2059,2.2396744501061986e-10
2060,2.5259210442818077e-10
2061,2.8474345604375167e-10
2062,3.2083973262762854e-10
2063,3.6134680659418863e-10
2064,4.0678338610037386e-10
2065,4.5772675138325813e-10
2066,5.148190845280661e-10
2067,5.787744507722593e-10
2068,6.503864947830362e-10
2069,7.305369211270474e-10
2070,8.202048344197291e-10
2071,9.204770214365674e-10
2072,1.0325592648272701e-9
2073,1.1577887860340364e-9
2074,1.2976479236211868e-9
2075,1.453779162526692e-9
2076,1.6280016397999964e-9
2077,1.822329263245698e-9
2078,2.0389905910999618e-9
2079,2.280450633485768e-9
2080,2.5494347499932475e-9
2081,2.8489548323838795e-9
2082,3.182337977189302e-9
2083,3.553257869933982e-9
2084,3.965769120934854e-9
2085,4.424344812211391e-9
2086,4.933917536069792e-9
2087,5.49992422849198e-9
2088,6.1283551246502215e-9
2089,6.825807189783494e-9
2090,7.599542406429852e-9
2091,8.457551328729408e-9
2092,9.40862234630492e-9
2093,1.0462417134200208e-8
2094,1.1629552801639636e-8
2095,1.2921691291113316e-8
2096,1.4351636620641607e-8
2097,1.593344060616405e-8
2098,1.768251774796568e-8
2099,1.9615770015056793e-8
2100,2.1751722314644337e-8
2101,2.4110669490455053e-8
2102,2.671483575385428e-8
2103,2.958854751560911e-8
2104,3.275842065396196e-8
2105,3.625356332663132e-8
2106,4.010579551065443e-8
2107,4.43498865348184e-8
2108,4.902381195497643e-8
2109,5.4169031213038395e-8
2110,5.983078761611863e-8
2111,6.605843227346092e-8
2112,7.290577373555015e-8
2113,8.043145519246608e-8
2114,8.869936120729301e-8
2115,9.77790560855608e-8
2116,1.0774625611352268e-7
2117,1.1868333803679506e-7
2118,1.3067988629671137e-7
2119,1.4383328169495517e-7
2120,1.5824933431795277e-7
2121,1.7404296372139762e-7
2122,1.913389295523652e-7
2123,2.102726159719781e-7
2124,2.3099087343578574e-7
2125,2.536529215922564e-7
2126,2.784313172723065e-7
2127,3.0551299176480583e-7
2128,3.3510036180470175e-7
2129,3.6741251894207577e-7
2130,4.0268650221240503e-7
2131,4.4117865929076385e-7
2132,4.831661015858131e-7
2133,5.289482590133417e-7
2134,5.788485404840941e-7
2135,6.332161064469152e-7
2136,6.924277601460023e-7
2137,7.568899645803361e-7
2138,8.270409924942379e-7
2139,9.033532170806555e-7
2140,9.863355514434024e-7
2141,0.00000107653604524118
2142,0.000001174544647324704
2143,0.0000012809961435786135
2144,0.0000013965732795921163
2145,0.0000015220100782065997
2146,0.0000016580953624245125
2147,0.000001805676494611438
2148,0.000001965663343382228
2149,0.000002139032490032266
2150,0.000002326831686856252
2151,0.0000025301845801889204
2152,0.000002750295711504286
2153,0.0000029884558104219387
2154,0.000003246047393990319
2155,0.0000035245506871473935
2156,0.000003825549879797985
2157,0.000004150739736493319
2158,0.0000045019325752515105
2159,0.0000048810656326171215
2160,0.000005290208832622964
2161,0.000005731572977886804
2162,0.000006207518381648283
2163,0.00000672056396012641
2164,0.000007273396805154295
2165,0.00000786888225762466
2166,0.000008510074502855111
2167,0.000009200227709554868
2168,0.000009942807734643139
2169,0.000010741504416732502
2170,0.00001160024448164702
2171,0.000012523205083892287
2172,0.00001351482800853103
2173,0.000014579834558441756
2174,0.000015723241152447663
2175,0.000016950375660296607
2176,0.000018266894500948017
2177,0.000019678800531076213
2178,0.000021192461751130336
2179,0.00002281463085669666
2180,0.00002455246566328725
2181,0.000026413550433026662
2182,0.000028405918132022632
2183,0.00003053807364748537
2184,0.00003281901799390098
2185,0.000035258273537764684
2186,0.00003786591027053585
2187,0.000040652573159585294
2188,0.00004362951060696462
2189,0.00004680860404583415
2190,0.0000502023987043375
2191,0.00005382413556660355
2192,0.00005768778456038618
2193,0.00006180807900061756
2194,0.00006620055131784813
2195,0.00007088157010017317
2196,0.00007586837847679801
2197,0.0000811791338708677
2198,0.0000868329491485806
2199,0.00009284993519091598
2200,0.00009925124491353004
2201,0.0001060591187595091
2202,0.00011329693168870983
2203,0.00012098924168636283
2204,0.00012916183981246437
2205,0.0001378418018122294
2206,0.0001470575413065235
2207,0.0001568388645797297
2208,0.00016721702698093625
2209,0.00017822479095265314
2210,0.00018989648569947264
2211,0.0002022680685071849
2212,0.00021537718772083608
2213,0.00022926324738807907
2214,0.000243967473571909
2215,0.00025953298233449964
2216,0.0002760048493913594
2217,0.0002934301814324068
2218,0.0003118581891038259
2219,0.00033134026164170077
2220,0.00035193004314544715
2221,0.00037368351047595456
2222,0.00039665905276012965
2223,0.0004209175524801889
2224,0.00044652246812259085
2225,0.00047353991835792116
2226,0.0005020387677193554
2227,0.0005320907137435238
2228,0.0005637703755336939
2229,0.0005971553837011735
2230,0.000632326471636721
2231,0.0006693675680595344
2232,0.0007083658907870853
2233,0.0007494120416646678
2234,0.0007926001025890527
2235,0.000838027732556081
2236,0.000885796265657395
2237,0.0009360108099468141
2238,0.0009887803470921043
2239,0.001044217832723083
2240,0.0011024402973821464
2241,0.0011635689479784128
2242,0.0012277292696417628
2243,0.0012950511278681089
2244,0.0013656688708422859
2245,0.0014397214318199914
2246,0.0015173524314452632
2247,0.001598710279875053
2248,0.001683948278577555
2249,0.0017732247216660924
2250,0.001866702996625547
2251,0.0019645516842835657
2252,0.0020669446578741057
2253,0.0021740611810362872
2254,0.002286086004587019
2255,0.002403209461901481
2256,0.002525627562731274
2257,0.0026535420852859116
2258,0.0027871606663993505
2259,0.002926696889599416
2260,0.00307237037089433
2261,0.0032244068420870624
2262,0.0033830382314249652
2263,0.0035485027413890754
2264,0.0037210449234246364
2265,0.003900915749411776
2266,0.004088372679672921
2267,0.004283679727311435
2268,0.004487107518674149
2269,0.004698933349728905
2270,0.004919441238147013
2271,0.005148921970879562
2272,0.005387673147015956
2273,0.005635999215712719
2274,0.005894211508980749
