time,probability
379,1.8805947979077518e-13
380,3.601138974716971e-13
381,3.1690022977509343e-12
382,9.134889199198716e-12
383,2.275919832021126e-11
384,1.2677209570661978e-10
385,7.264417603075447e-10
386,1.8622880078032252e-9
387,3.817308345154558e-9
388,7.446379154202369e-9
389,1.606545421077559e-8
390,3.35943262739837e-8
391,6.230680650891485e-8
392,1.0744464678628587e-7
393,1.832212465456556e-7
394,3.154853362700289e-7
395,5.201684818237342e-7
396,8.200177036753498e-7
397,0.000001268129531290789
398,0.000001938767893999295
399,0.000002906660492812654
400,0.000004242052464989318
401,0.000006090219798680318
402,0.000008679899297173522
403,0.000012203969002283178
404,0.00001685898526220489
405,0.00002298772659854648
406,0.000031118706135390147
407,0.000041755160301259336
408,0.00005532938265173794
409,0.00007252326715947902
410,0.00009431216175728241
411,0.00012175322824118384
412,0.00015566894141399442
413,0.00019720168672744106
414,0.0002478528768100125
415,0.00030932548423894077
416,0.0003829681893232617
417,0.00047040627386102775
418,0.0005737279668690714
419,0.000695193183687484
420,0.0008367179564583605
421,0.001000472927890484
422,0.0011891612692237197
423,0.0014057927706189175
424,0.0016528741522700524
425,0.0019334078181998731
426,0.0022513357159056296
427,0.0026108587271607706
428,0.003015628145303926
429,0.003470236924363862
430,0.00398091543073908
431,0.004554395210219997
432,0.005196399742222987
433,0.005914197461236592
434,0.006717672500624304
435,0.007617757938537761
436,0.008623392685140558
437,0.009745409885563338
438,0.010997749100769533
439,0.012396795768443868
440,0.013955354911859154
441,0.015687355209705958
442,0.017609738270882837
443,0.019743193697356342
444,0.022103892042991354
445,0.02470674184620024
446,0.027568027611604436
447,0.03070946014039822
448,0.03414790707592119
449,0.037895714587056865
450,0.041964456727070644
451,0.046371159828971775
452,0.05113007708663107
453,0.056247658435976886
454,0.0617267928244187
455,0.06757627128331974
456,0.0738043659446868
457,0.08041010049842677
458,0.08738726296616796
459,0.09473492130155506
460,0.10245474621420811
461,0.11053967766410296
462,0.11897655833821194
463,0.12775759687257945
464,0.13687932208751954
465,0.14633165376461257
466,0.1560986089151251
467,0.1661702562746129
468,0.1765410982635857
469,0.187201202317394
470,0.1981347349913935
471,0.2093343680885698
472,0.22079518205054716
473,0.2325089084753825
474,0.24446111380045968
475,0.25664739023180866
476,0.2690654779452482
477,0.2817077385469234
478,0.29455902897298863
479,0.30761585738489805
480,0.3208769064181062
481,0.3343331756256904
482,0.34796596038725786
483,0.3617679398582655
484,0.37573630527171553
485,0.38985830670445326
486,0.4041091188490038
487,0.41847447404762167
488,0.43294760379189284
489,0.44751110695334906
490,0.4621346027746927
491,0.476796196101605
492,0.4914843301870812
493,0.5061786887915865
494,0.520845901825906
495,0.5354596951376234
496,0.5500050921951024
497,0.5644618978639036
498,0.5787979956707339
499,0.5929875773750756
500,0.6070155950856705
501,0.6208649542481233
502,0.6345086209410765
503,0.6479260764631004
504,0.6611052064037805
505,0.6740344857619246
506,0.6866942270712234
507,0.6990713600030269
508,0.7111594126115705
509,0.7229530516517286
510,0.7344400054772521
511,0.7456149433256136
512,0.7564772256450257
513,0.7670271232526049
514,0.7772588072773733
515,0.7871723224413507
516,0.7967721014582918
517,0.8060623950951677
518,0.8150416992328251
519,0.8237133048858309
520,0.8320845825208416
521,0.8401621244635028
522,0.8479472113045451
523,0.8554442870136091
524,0.8626618163719191
525,0.8696074427335879
526,0.8762839961619551
527,0.8826960232235017
528,0.88885196277257
529,0.8947596639288775
530,0.9004229191433786
531,0.9058462126231963
532,0.9110373294622501
533,0.9160039466362098
534,0.9207504988964295
535,0.9252816831259397
536,0.9296044551204201
537,0.9337263544283917
538,0.9376522534608623
539,0.9413871332543142
540,0.9449376536328394
541,0.9483109840490255
542,0.9515124008775946
543,0.954547171852385
544,0.9574216338810174
545,0.9601427375355592
546,0.9627158849190204
547,0.9651464493679363
548,0.9674404141502667
549,0.969604392423039
550,0.9716436762923308
551,0.9735634453945701
552,0.9753693518670178
553,0.9770673685761729
554,0.9786625318437885
555,0.9801595717553133
556,0.98156357107995
557,0.9828798288300284
558,0.9841128774292809
559,0.9852668589842682
560,0.9863461544515093
561,0.9873553548863474
562,0.988298406142133
563,0.9891787649713892
564,0.9900001437025098
565,0.9907663066701943
566,0.991480586368778
567,0.9921458288483319
568,0.9927650364357732
569,0.9933411497246292
570,0.9938768825796649
571,0.994374563372755
572,0.9948365721350779
573,0.9952653751571416
574,0.995662902995765
575,0.9960309730969982
576,0.996371535756055
577,0.9966865393484712
578,0.996977729704367
579,0.9972462994931363
580,0.9974937232365352
581,0.9977215724428433
582,0.9979312607018334
583,0.9981239655395423
584,0.998300651554186
585,0.9984625652536353
586,0.9986108161645503
587,0.9987463097060755
588,0.9988699721658139
589,0.9989826852300137
590,0.9990853294317875
591,0.9991786063819322
592,0.9992632223445922
593,0.9993398727270681
594,0.9994093295699954
595,0.9994721074384136
596,0.9995287385336383
597,0.9995797560063784
598,0.9996256136758866
599,0.999666896071512
600,0.9997039384891896
